abstract,category
"In this paper, we analyze the electrotactic movement of Dictyostelium discoideum from the viewpoint of non-equilibrium statistical mechanics. Because we can observe fluctuating behavior of cellular trajectories, we analyze the probability distribution of the trajectories with the aid of the fluctuation theorem. Recently, the validity of the fluctuation theorem was verified in a colloidal system, and it has also been applied to granular systems, turbulent systems and chemical oscillatory waves to investigate some of their statistical properties that are not yet completely understood. Noting that the fluctuation theorem is potentially applicable to cellular electrotaxis, here we employ it to help us obtain a phenomenological model of this biological system.",Biology
"The problem of intermediates in the fossil record has been frequently discussed ever since Darwin. The extent of `gaps' (missing transitional stages) has been used to argue against gradual evolution from a common ancestor. Traditionally, gaps have often been explained by the improbability of fossilization and the discontinuous selection of found fossils. Here we take an analytical approach and demonstrate why, under certain sampling conditions, we may not expect intermediates to be found. Using a simple null model, we show mathematically that the question of whether a taxon sampled from some time in the past is likely to be morphologically intermediate to other samples (dated earlier and later) depends on the shape and dimensions of the underlying phylogenetic tree that connects the taxa, and the times from which the fossils are sampled.",Biology
"Degeneracy of the genetic code is a biological way to minimize effects of the undesirable mutation changes. Degeneration has a natural description on the 5-adic space of 64 codons $\mathcal{C}_5 (64) = \{n_0 + n_1 5 + n_2 5^2   : n_i = 1, 2, 3, 4 \} ,$ where $n_i$ are digits related to nucleotides as follows: C = 1, A = 2, T = U = 3, G = 4. The smallest 5-adic distance between codons joins them into 16 quadruplets, which under 2-adic distance decay into 32 doublets. p-Adically close codons are assigned to one of 20 amino acids, which are building blocks of proteins, or code termination of protein synthesis. We shown that genetic code multiplets are made of the p-adic nearest codons.",Biology
"With an automatic image analysis device, we studied the temporal distribution of the locomotor activity of E. orientalis and E. vuilleti during 24 h, and over several days to know whether the activity rhythms of these two Eupelmidae play a role in their competitive interactions. The analysis of locomotor activity rhythms of E. orientalis and E. vuilleti shows that the locomotor activity of both species presents daily cyclic variations. These two Eupelmidae have similar activity rhythms. Displacements of these parasitoids essentially take place during the photophase. But the activity of E. vuilleti is earlier, because the individuals of this species start their activity on average 4 to 5 h earlier than those of E. orientalis. E. vuilleti begins its displacements several hours before the onset of lighting, whereas E. orientalis is active only in the presence of the light. This shift of starting activity is thus a factor allowing these concurrent species to minimize their interactions during the cohabitation period in traditional granaries after the harvests of cowpea.",Biology
"This work is a study of the inter-relationship between parameters that principally affect metal up-take in the plant. The relationships between the concentration of metal in the growth medium, Cs, the concentration of metal absorbed by the plant, Cp, and the total biomass achieved, M, all of which are factors relevant to the efficiency of phytoremediation of the plant, have been investigated via the macro-physiological response of Brassica juncea seedlings to Ni(II) stress. The factorial growth experiments treated the Ni(II) concentration in the agar gel and the diurnal light quanta (DLQ) as independently variable parameters. Observations included the evidence of light enhancement of Ni toxicity at the root as well as at the whole plant level, the shoot mass index as a possible indicator of shoot metal sequestration in B. juncea, the logarithmic variation of Cp with Cs and the power-law dependence of M on Cp. The sum total of these observations indicate that for the metal accumulator B. juncea with regard to its capacity to accumulate Ni, the overall metabolic nature of the plant is important; neither rapid biomass increase nor a high metal concentration capability favor the removal of high metal mass from the medium, but rather the plant with the moderate photosynthetically driven biomass growth and moderate metal concentrations demonstrated the ability to remove the maximum mass of metal from the medium. The implications of these observations in the context of the perceived need in phytoremediation engineering to maximize Cp and M simultaneously in the same plant, are discussed.",Biology
"In a recent paper [C. Marr, M. Mueller-Linow, and M.-T. Huett, Phys. Rev. E 75, 041917 (2007)] we discuss the pronounced potential of real metabolic network topologies, compared to randomized counterparts, to regularize complex binary dynamics. In their comment [P. Holme and M. Huss, arXiv:0705.4084v1], Holme and Huss criticize our approach and repeat our study with more realistic dynamics, where stylized reaction kinetics are implemented on sets of pairwise reactions. The authors find no dynamic difference between the reaction sets recreated from the metabolic networks and randomized counterparts. We reproduce the author's observation and find that their algorithm leads to a dynamical fragmentation and thus eliminates the topological information contained in the graphs. Hence, their approach cannot rule out a connection between the topology of metabolic networks and the ubiquity of steady states.",Biology
"Noise and spatial degrees of freedom characterize most ecosystems. Some aspects of their influence on the coevolution of populations with cyclic interspecies competition have been demonstrated in recent experiments [e.g. B. Kerr et al., Nature {\bf 418}, 171 (2002)]. To reach a better theoretical understanding of these phenomena, we consider a paradigmatic spatial model where three species exhibit cyclic dominance. Using an individual-based description, as well as stochastic partial differential and deterministic reaction-diffusion equations, we account for stochastic fluctuations and spatial diffusion at different levels, and show how fascinating patterns of entangled spirals emerge. We rationalize our analysis by computing the spatio-temporal correlation functions and provide analytical expressions for the front velocity and the wavelength of the propagating spiral waves.",Biology
"In this paper a novel architecture for cortical computation has been proposed. This architecture is composed of computing paths consisting of neurons and synapses only. These paths have been decomposed into lateral, longitudinal and vertical components. Cortical computation has then been decomposed into lateral computation (LaC), longitudinal computation (LoC) and vertical computation (VeC). It has been shown that various loop structures in the cortical circuit play important roles in cortical computation as well as in memory storage and retrieval, keeping in conformity with the molecular basis of short and long term memory. A new learning scheme for the brain has also been proposed and how it is implemented within the proposed architecture has been explained. A number of mathematical results about the architecture have been proposed, many of which without proof.",Biology
"Three-dimensional (3D) chromatin structure is closely related to genome function, in particular transcription. However, the folding path of the chromatin fiber in the interphase nucleus is unknown. Here, we systematically measured the 3D physical distance between pairwise labeled genomic positions in gene-dense, highly transcribed domains and gene-poor less active areas on chromosomes 1 and 11 in G1 nuclei of human primary fibroblasts, using fluorescence in situ hybridization. Interpretation of our results and those published by others, based on polymer physics, shows that the folding of the chromatin fiber can be described as a polymer in a globular state (GS), maintained by intra-polymer attractive interactions that counteract self-avoidance forces. The GS polymer model is able to describe chromatin folding in as well the highly expressed domains as the lowly expressed ones, indicating that they differ in Kuhn length and chromatin compaction. Each type of genomic domain constitutes an ensemble of relatively compact globular folding states, resulting in a considerable cellto- cell variation between otherwise identical cells. We present evidence for different polymer folding regimes of the chromatin fiber on the length scale of a few mega base pairs and on that of complete chromosome arms (several tens of Mb). Our results present a novel view on the folding of the chromatin fiber in interphase and open the possibility to explore the nature of the intra-chromatin fiber interactions.",Biology
"In this paper a theoretical model of functioning of a neural circuit during a behavioral response has been proposed. A neural circuit can be thought of as a directed multigraph whose each vertex is a neuron and each edge is a synapse. It has been assumed in this paper that the behavior of such circuits is manifested through the collective behavior of neurons belonging to that circuit. Behavioral information of each neuron is contained in the coefficients of the fast Fourier transform (FFT) over the output spike train. Those coefficients form a vector in a multidimensional vector space. Behavioral dynamics of a neuronal network in response to strong aversive stimuli has been studied in a vector space in which a suitable pseudometric has been defined. The neurodynamical model of network behavior has been formulated in terms of existing memory, synaptic plasticity and feelings. The model has an analogy in classical electrostatics, by which the notion of force and potential energy has been introduced. Since the model takes input from each neuron in a network and produces a behavior as the output, it would be extremely difficult or may even be impossible to implement. But with the help of the model a possible explanation for an hitherto unexplained neurological observation in human brain has been offered. The model is compatible with a recent model of sequential behavioral dynamics. The model is based on electrophysiology, but its relevance to hemodynamics has been outlined.",Biology
"The relationship between the regulatory design and the functionality of molecular networks is a key issue in biology. Modules and motifs have been associated to various cellular processes, thereby providing anecdotal evidence for performance based localization on molecular networks. To quantify structure-function relationship we investigate similarities of proteins which are close in the regulatory network of the yeast Saccharomyces Cerevisiae. We find that the topology of the regulatory network show weak remnants of its history of network reorganizations, but strong features of co-regulated proteins associated to similar tasks. This suggests that local topological features of regulatory networks, including broad degree distributions, emerge as an implicit result of matching a number of needed processes to a finite toolbox of proteins.",Biology
This article reports about a novel extension of dissipative particle dynamics (DPD) that allows the study of the collective dynamics of complex chemical and structural systems in a spatially resolved manner with a combinatorially complex variety of different system constituents. We show that introducing multipolar interactions between particles leads to extended membrane structures emerging in a self-organized manner and exhibiting both the necessary mechanical stability for transport and fluidity so as to provide a two-dimensional self-organizing dynamic reaction environment for kinetic studies in the context of cell biology. We further show that the emergent dynamics of extended membrane bound objects is in accordance with scaling laws imposed by physics.,Biology
"The goal of this paper is to outline a scenario of emerging stochasticity in high-dimensional highly nonlinear systems, such as genetic regulatory networks (GRN). We focus attention on the fact that in such systems confluence of all the factors necessary for gene expression is a comparatively rare event, and only massive redundancy makes such events sufficiently frequent. An immediate consequence of this rareness is burstiness in mRNA and protein copy numbers, a well known experimentally observed effect. We introduce the concept of stochastic cooperativity and show that this phenomenon is a natural consequence of high dimensionality coupled with highly nonlinearity of a dynamical system. In mathematical terms, burstiness is associated with heavy-tailed probability distributions of stochastic processes describing the dynamics of the system. The sequence of stochastic cooperativity events allows for transition from continuous deterministic dynamics expressed in terms of ordinary differential equations (ODE) to discrete stochastic dynamics expressed in terms of Langevin and Fokker-Plank equations. We demonstrate also that high-dimensional nonlinear systems, even in the absence of explicit mechanisms for suppressing inherent instability, may nevertheless reside in a state of stationary pseudo-random fluctuations which for all practical purposes may be regarded as stochastic process. This type of stochastic behavior is an inherent property of such systems and requires neither an external random force, nor highly specialized conditions of bistability.",Biology
"In the simplest view of transcriptional regulation, the expression of a gene is turned on or off by changes in the concentration of a transcription factor (TF). We use recent data on noise levels in gene expression to show that it should be possible to transmit much more than just one regulatory bit. Realizing this optimal information capacity would require that the dynamic range of TF concentrations used by the cell, the input/output relation of the regulatory module, and the noise levels of binding and transcription satisfy certain matching relations. This parameter-free prediction is in good agreement with recent experiments on the Bicoid/Hunchback system in the early Drosophila embryo, and this system achieves ~90% of its theoretical maximum information transmission.",Biology
"We consider a system of differential equations the behavior of which solutions possesses several properties characteristic of the blood pressure distribution. The system can be used for a compartmental modeling of the cardiovascular system. It admits a unique bounded solution such that all coordinates of the solution are separated from zero by positive numbers, and which is periodic, eventually periodic or almost periodic depending on the moments of heart contraction. Appropriate numerical simulations are provided.",Biology
"This work is concerned with the development of a well-founded, theoretically justified, and least complicated metric for the classification of proteins with reference to enzymes. As the signature of an enzyme family, a catalytic domain is easily fingerprinted. Given that the classification problem has so far seemed intractable, a classification schema derived from the catalytic domain would be satisfying. Here I show that there exists a natural ab initio if nonobvious basis to theorize that the catalytic domain of an enzyme is uniquely informative about its regulation. This annotates its function. Based on this hypothesis, a method that correctly classifies potassium ion channels into their respective subfamilies is described. To put the principle on firmer ground, extra validation was sought and obtained through co-evolutionary analyses. The co-evolutionary analyses reveal a departure from the notion that potassium ion channel proteins are functionally modular. This finding is discussed in light of the prevailing notion of domain. These studies establish that significant co-evolution of the catalytic domain of a gene with its conjoint domain is a specialized, necessary process following fusion and swapping events in evolution. Instances of this discovery are likely to be found pervasive in protein science.",Biology
"We have used the Penna ageing model to analyze how the differences in evolution of sex chromosomes depend on the strategy of reproduction. In panmictic populations, when females (XX) can freely choose the male partner (XY) for reproduction from the whole population, the Y chromosome accumulates defects and eventually the only information it brings is a male sex determination. As a result of shrinking Y chromosome the males become hemizygous in respect to the X chromosome content and are characterized by higher mortality, observed also in the human populations. If it is assumed in the model that the presence of the male is indispensable at least during the pregnancy of his female partner and he cannot be seduced by another female at least during the one reproduction cycle - the Y chromosome preserves its content, does not shrink and the lifespan of females and males is the same. Thus, Y chromosome shrinks not because of existing in one copy, without the possibility of recombination, but because it stays under weaker selection pressure; in panmictic populations without the necessity of being faithful, a considerable fraction of males is dispensable and they can be eliminated from the population without reducing its reproduction potential.",Biology
"A model is proposed to minimize the total volume of the main distribution networks of fluids in relation to the organ form. The minimization analysis shows that the overall exterior form of distribution networks is a modified ellipsoid, a geometric form that is a good approximation to the external anatomy of the kidney and lung. The variational procedure implementing this minimization is similar to the traditional isoperimetric theorems of geometry.   A revised version of this preprint that expands Section 4 will be published in the Journal of Biological Systems, World Scientific Publishing.",Biology
"Background : The carnivorous plants of the genus Nepenthes, widely distributed in the Asian tropics, rely mostly on nutrients derived from arthropods trapped in their pitcher-shaped leaves and digested by their enzymatic fluid. The genus exhibits a great diversity of prey and pitcher forms and its mechanism of trapping has long intrigued scientists. The slippery inner surfaces of the pitchers, which can be waxy or highly wettable, have so far been considered as the key trapping devices. However, the occurrence of species lacking such epidermal specializations but still effective at trapping insects suggests the possible implication of other mechanisms. Methodology/Principal Findings : Using a combination of insect bioassays, high-speed video and rheological measurements, we show that the digestive fluid of Nepenthes rafflesiana is highly viscoelastic and that this physical property is crucial for the retention of insects in its traps. Trapping efficiency is shown to remain strong even when the fluid is highly diluted by water, as long as the elastic relaxation time of the fluid is higher than the typical time scale of insect movements. Conclusions/Significance : This finding challenges the common classification of Nepenthes pitchers as simple passive traps and is of great adaptive significance for these tropical plants, which are often submitted to high rainfalls and variations in fluid concentration. The viscoelastic trap constitutes a cryptic but potentially widespread adaptation of Nepenthes species and could be a homologous trait shared through common ancestry with the sundew (Drosera) flypaper plants. Such large production of a highly viscoelastic biopolymer fluid in permanent pools is nevertheless unique in the plant kingdom and suggests novel applications for pest control.",Biology
"Medvedev and Melott (2007) have suggested that periodicity in fossil biodiversity may be induced by cosmic rays which vary as the Solar System oscillates normal to the galactic disk. We re-examine the evidence for a 62 million year (Myr) periodicity in biodiversity throughout the Phanerozoic history of animal life reported by Rohde & Mueller (2005), as well as related questions of periodicity in origination and extinction. We find that the signal is robust against variations in methods of analysis, and is based on fluctuations in the Paleozoic and a substantial part of the Mesozoic. Examination of origination and extinction is somewhat ambiguous, with results depending upon procedure. Origination and extinction intensity as defined by RM may be affected by an artifact at 27 Myr in the duration of stratigraphic intervals. Nevertheless, when a procedure free of this artifact is implemented, the 27 Myr periodicity appears in origination, suggesting that the artifact may ultimately be based on a signal in the data. A 62 Myr feature appears in extinction, when this same procedure is used. We conclude that evidence for a periodicity at 62 Myr is robust, and evidence for periodicity at approximately 27 Myr is also present, albeit more ambiguous.",Biology
"Surface modified amorphous nanoporous silica molecules with hydrophobic as well as hydrophilic character can be effectively used as therapeutic drug for combating chicken malaria in poultry industry. The amorphous nanosilica was developed by top-down approach using volcanic soil derived silica as source material. Amorphous silica has long been used as feed additive for poultry industry and considered to be safe for human consumption by WHO and USDA. The basic mechanism of action of these nanosilica molecules is mediated by the physical absorption of VLDL, serum triglycerides and other serum cholesterol components in the lipophilic nanopores of nanosilica. This reduces the supply of the host derived cholesterol, thus limiting the growth of the malarial parasite in vivo.",Biology
"Previously, we have identified the cytoplasmic zinc metalloprotease insulin-degrading enzyme(IDE) in human tissues by an immunohistochemical method involving no antigen retrieval (AR) by pressure cooking to avoid artifacts by endogenous biotin exposure and a detection kit based on the labeled streptavidin biotin (LSAB) method. Thereby, we also employed 3% hydrogen peroxide(H2O2) for the inhibition of endogenous peroxidase activity and incubated the tissue sections with the biotinylated secondary antibody at room temperature (RT). We now add the immunohistochemical details that had led us to this optimized procedure as they also bear a more general relevance when demonstrating intracellular tissue antigens. Our most important result is that endogenous peroxidase inhibition by 0.3% H2O2 coincided with an apparently positive IDE staining in an investigated breast cancer specimen whereas combining a block by 3% H2O2 with an incubation of the biotinylated secondary antibody at RT, yet not at 37 degrees Celsius, revealed this specimen as almost entirely IDE-negative. Our present data caution against three different immunohistochemical pitfalls that might cause falsely positive results and artifacts when using an LSAB- and peroxidase-based detection method: pressure cooking for AR, insufficient quenching of endogenous peroxidases and heating of tissue sections while incubating with biotinylated secondary antibodies.",Biology
"In this article, we study the kinetics of reversible ligand binding to receptors on a spherical cell surface using a self-consistent stochastic theory. Binding, dissociation, diffusion and rebinding of ligands are incorporated into the theory in a systematic manner. We derive explicitly the time evolution of the ligand-bound receptor fraction p(t) in various regimes . Contrary to the commonly accepted view, we find that the well-known Berg-Purcell scaling for the association rate is modified as a function of time. Specifically, the effective on-rate changes non-monotonically as a function of time and equals the intrinsic rate at very early as well as late times, while being approximately equal to the Berg-Purcell value at intermediate times. The effective dissociation rate, as it appears in the binding curve or measured in a dissociation experiment, is strongly modified by rebinding events and assumes the Berg-Purcell value except at very late times, where the decay is algebraic and not exponential. In equilibrium, the ligand concentration everywhere in the solution is the same and equals its spatial mean, thus ensuring that there is no depletion in the vicinity of the cell. Implications of our results for binding experiments and numerical simulations of ligand-receptor systems are also discussed.",Biology
"Transforming growth factor (TGF) $\beta$ is known to have properties of both a tumor suppressor and a tumor promoter. While it inhibits cell proliferation, it also increases cell motility and decreases cell--cell adhesion. Coupling mathematical modeling and experiments, we investigate the growth and motility of oncogene--expressing human mammary epithelial cells under exposure to TGF--$\beta$. We use a version of the well--known Fisher--Kolmogorov equation, and prescribe a procedure for its parametrization. We quantify the simultaneous effects of TGF--$\beta$ to increase the tendency of individual cells and cell clusters to move randomly and to decrease overall population growth. We demonstrate that in experiments with TGF--$\beta$ treated cells \textit{in vitro}, TGF--$\beta$ increases cell motility by a factor of 2 and decreases cell proliferation by a factor of 1/2 in comparison with untreated cells.",Biology
"In this paper I show that, for a class of reaction networks, the discrete stochastic nature of the reacting species and reactions results in qualitative and quantitative differences between the mean of exact stochastic simulations and the prediction of the corresponding deterministic system. The differences are independent of the number of molecules of each species in the system under consideration. These reaction networks are open systems of chemical reactions with no zero-order reaction rates systems. They are characterized by at least two stationary points, one of which is a nonzero stable point, and one unstable trivial solution (stability based on a linear stability analysis of the deterministic system). Starting from a nonzero initial condition, the deterministic system never reaches the zero stationary point due to its unstable nature. In contrast, the result presented here proves that this zero-state is the only stable stationary state for the discrete stochastic system. This result generalizes previous theoretical studies and simulations of specific systems and provides a theoretical basis for analyzing a class of systems that exhibit such inconsistent behavior. This result has implications in the simulation of infection, apoptosis, and population kinetics, as it can be shown that for certain models the stochastic simulations will always yield different predictions for the mean behavior than the deterministic simulations.",Biology
"Malaria and other parasites, including virus often induce an increase in host lipids which the invaders use to their own advantage. We obtained encouraging results in our investigations on bird malaria with a new approach namely the use of nanosilica to mop up excess host lipids. While this project is continuing we have investigated another, simpler system namely silkworms which suffer from a deadly baculovirus, BmNPV. This virus decimates the infected population within 24 hours or so and no known antibiotic antidote or genetically resistant strain of silkworm3 exists. We report here a partial success, which is worth following up. Our rationale, we believe, has a broad and interdisciplinary appeal, for, this nanosilica treatment might be used together with other arsenals on all sorts of virus which take advantage of enhanced host lipids. It has not escaped our notice that Ebola and HIV also belong to this category. Nanoparticles are being preferentially harnessed, because they offer a greater surface area, circulate more easily and in lepidopteran system4 they are removed within 24 hours from the body. Lawry surmised, on cogent theoretical grounds that particles significantly smaller than micron order would be less harmful in the hemocoele. Furthermore, Hui-peng et al. pointed out that lipase treatment, the only viable option for controlling BmNPV interferes in hormonal balance and cannot be applied to pre molting stage.",Biology
"Biological networks have evolved to be highly functional within uncertain environments while remaining extremely adaptable. One of the main contributors to the robustness and evolvability of biological networks is believed to be their modularity of function, with modules defined as sets of genes that are strongly interconnected but whose function is separable from those of other modules. Here, we investigate the in silico evolution of modularity and robustness in complex artificial metabolic networks that encode an increasing amount of information about their environment while acquiring ubiquitous features of biological, social, and engineering networks, such as scale-free edge distribution, small-world property, and fault-tolerance. These networks evolve in environments that differ in their predictability, and allow us to study modularity from topological, information-theoretic, and gene-epistatic points of view using new tools that do not depend on any preconceived notion of modularity. We find that for our evolved complex networks as well as for the yeast protein-protein interaction network, synthetic lethal pairs consist mostly of redundant genes that lie close to each other and therefore within modules, while knockdown suppressor pairs are farther apart and often straddle modules, suggesting that knockdown rescue is mediated by alternative pathways or modules. The combination of network modularity tools together with genetic interaction data constitutes a powerful approach to study and dissect the role of modularity in the evolution and function of biological networks.",Biology
"Miniaturization is a hallmark of modern technologies. Notably, this feature has not spared molecular biology and its potential applications. Towards developing more effective therapeutics against cancer, studies began to explore more than a decade ago how natural tumor suppression could be translated into antineoplastic drugs. To this end, investigators focused on major constituents of a central pathway that protects cells against neoplastic transformation: the nuclear retinoblastoma protein (RB) pathway. As such, peptide mimetics of RB, p16 and p21 were developed. Likewise, the p53 and von Hippel-Lindau gene products which affect indirectly the RB pathway provided additional templates for the development of anti-proliferative peptides. Each of the peptides derived from these distinct tumor suppressors was made cell-permeable by its ligation to an amino acid sequence conferring cellular internalization. Details reviewed here reveal that through the application of such anti-cancer peptide therapeutics alone or in conjunction whenever synergy is to expect, the dark era of chemotherapy will likely be overcome, at last.",Biology
"Various types of surface functionalized nanosilica (50-60 nm size with 3-10 nm inner pore size range) have been used to kill insect pests by sucking up cuticular lipids and breaking the water barrier. We have also utilized nanosilica for mopping up host lipids induced by the malarial parasite, P. gallinaceum in poultry birds; VLDL cholesterol and serum triglycerides are brought back to the normal level with a concomitant check in parasite growth. While this work continues, we have explored another more convenient system, silkworm (Bombyx mori) that is frequently decimated by a baculovirus, NPV for which no antidote is known so far. Here, too, viral infection enhances host lipids. Eight different types of nanosilica were injected in the virus infected silkworm (batches of 10 worms) after ensuring 100% survival up to cocoon formation in control larvae (injected with the same volume of ethanol, the medium of nanosilica). Of these 8, AL60102 and AL60106, have the most marked effect on infected silkworm, both as prophylactic and pharmaceutical agents. Normal larvae injected with these nanosilica survive up to cocoon formation.",Biology
"In this paper we enumerate $k$-noncrossing RNA pseudoknot structures with given minimum arc- and stack-length. That is, we study the numbers of RNA pseudoknot structures with arc-length $\ge 3$, stack-length $\ge \sigma$ and in which there are at most $k-1$ mutually crossing bonds, denoted by ${\sf T}_{k,\sigma}^{[3]}(n)$. In particular we prove that the numbers of 3, 4 and 5-noncrossing RNA structures with arc-length $\ge 3$ and stack-length $\ge 2$ satisfy ${\sf T}_{3,2}^{[3]}(n)^{}\sim K_3 n^{-5} 2.5723^n$, ${\sf T}^{[3]}_{4,2}(n)\sim K_4 n^{-{21/2}} 3.0306^n$, and ${\sf T}^{[3]}_{5,2}(n)\sim K_5 n^{-18} 3.4092^n$, respectively, where $K_3,K_4,K_5$ are constants. Our results are of importance for prediction algorithms for RNA pseudoknot structures.",Biology
"Functional Magnetic Resonance Imaging (fMRI) provides dynamical access into the complex functioning of the human brain, detailing the hemodynamic activity of thousands of voxels during hundreds of sequential time points. One approach towards illuminating the connection between fMRI and cognitive function is through decoding; how do the time series of voxel activities combine to provide information about internal and external experience? Here we seek models of fMRI decoding which are balanced between the simplicity of their interpretation and the effectiveness of their prediction. We use signals from a subject immersed in virtual reality to compare global and local methods of prediction applying both linear and nonlinear techniques of dimensionality reduction. We find that the prediction of complex stimuli is remarkably low-dimensional, saturating with less than 100 features. In particular, we build effective models based on the decorrelated components of cognitive activity in the classically-defined Brodmann areas. For some of the stimuli, the top predictive areas were surprisingly transparent, including Wernicke's area for verbal instructions, visual cortex for facial and body features, and visual-temporal regions for velocity. Direct sensory experience resulted in the most robust predictions, with the highest correlation ($c \sim 0.8$) between the predicted and experienced time series of verbal instructions. Techniques based on non-linear dimensionality reduction (Laplacian eigenmaps) performed similarly. The interpretability and relative simplicity of our approach provides a conceptual basis upon which to build more sophisticated techniques for fMRI decoding and offers a window into cognitive function during dynamic, natural experience.",Biology
